DATA_HORA;PLACA;TIPO;PONTO;CAM_POSICAO
01/09/2021 17:06;3201c2fae754c0e160633692c44f648d5dee3b6ce99bc0978ca49c5bf99a1370;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:06;68a998e6cea026f30dfba51f4008d767993400e1535372db257bcea65eafcc7b;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:06;740f63aa412b52bfd0374e47004a3a5bd0e26029a2a491257cc4296ee1b4d0fd;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:09;2e39811ff8995be1fc69b3e598639bb27e3f253a2f2e85763fe35060b3350d09;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:09;bbeda64d32746059a27bc51f3cb2456b031511f545971f23d4d9f8acadc1a7e8;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:10;902ef4b9a34788f8f76d04722d7980e4339b889d8a9c29fc71fd310b3e348e96;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:14;a97ebbb82cd7044f3b76e8ea20822988af8eb20797c94cd494e2f791ea241777;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:16;838d1af18cb9886d60d30f406e80d3e083c4fb49d5c0e2ceeea3860bdb8609cf;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:16;6cb748602cc260b0c4ffe776912968f0b8841e6cde7c007ae78426b7a03a0796;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:17;0388100bf1f0c874e934e4fcb8d11650a1c0ddc1ed4062f6e6d3c6f12d1a158d;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:17;fee8871c6963a908b4e7857306abf07c9b1f58b561361810b009288c7f3ff75b;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:17;298fa202ff957d0675ea63f06169291465ce9d27975f3da97d87f465a6ee9efc;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:18;fae751c29774ed41a144ac65c11e3dad5ed2bfc600560068eec312b2637e6713;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:20;c95a0789543afde808b224ffc4f9ea2fdb3106581c904ab365ba7f6e82a1378c;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:20;9b00169fbbe0935f559211898d551ee6f4f71cd5f8edd7d5d2bbe867a6191c63;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:21;1161b365a0251833651c63ca5744339c0024afce88954a420d5f0075a7614b7c;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:26;b0306865911104de0f790848c8a9baf5c4696f30e22258a2098a7a3a4cce0616;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:27;9dcf047fb5211b91d273bc46781edb56a99b2c6c99d3ea00aa53f7b4b6d06474;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:27;195dda26c865e01fb3e91aad6e5e4b7cbdc23b3a6062be4cb3996c2945f5a682;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:30;142278a60c94ff0503f02b0466ebe0ffbea344172254d50f1f8da9ea90f6c3ef;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:31;30bd61fe3af2daf475ca010e304373dba0dfc5deaaae2641fbccf10c5000a57b;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:31;fc870072909b1b8170fe9252dca2bc369fde82e6bdaef4b6b40643bd0a420911;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:31;003c14afa2b5d7c0a96942cb31d8b974de138c487a4e140aef076027d8415212;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:32;eea4e081e1cc4ae1de7508210f65474e5a7e6457d1459309b816128d72bf3bca;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:32;28a727dfe3c0ff1e4b4560372e8710fa7be8f4bcf486b7bcf32356f82303ef7c;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:32;3524c01a97e070ba8950ad249b6554be53f5c4fa6c0e3e97b8f0579e9c9bfbfa;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:33;02eed9a75a455bbea806aff29564023d6e8634a2d9a737c896a54bfb01bdff07;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:33;e65c1071d4c062a1784ca9e6405f3d6c164e8236aee44046f289ae3ae91ea683;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:33;aa7f97c63afa35a89229c3888fbc4b10ed5ff89208c2e663248ac13f6a981a86;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;FRONTAL
01/09/2021 17:38;8eda8e8a67557c6a999305a300925599b524a6c046d70ef4c5232f888c570c95;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
01/09/2021 17:39;33315b337e092f93c033cd06be33fd21f69b0b5e7821d07ece7be54d01de1df8;SAIDA;e7ee0472bed2613eb7db084f40e57bd081cc32642636935b81d5e14a099632b7;TRASEIRA
